SYMBOL
RELIANCE.NS
TCS.NS
HDFCBANK.NS
INFY.NS
HINDUNILVR.NS
ICICIBANK.NS
SBIN.NS
BHARTIARTL.NS
ADANIENT.NS
LICI.NS
ITC.NS
BAJFINANCE.NS
ATGL.NS
KOTAKBANK.NS
ADANIGREEN.NS
ASIANPAINT.NS
AXISBANK.NS
HCLTECH.NS
DMART.NS
MARUTI.NS
BAJAJFINSV.NS
SUNPHARMA.NS
TITAN.NS
WIPRO.NS
ULTRACEMCO.NS
NESTLEIND.NS
ADANIPORTS.NS
ONGC.NS
JSWSTEEL.NS
NTPC.NS
TATAMTRDVR.NS
POWERGRID.NS
M&M.NS
TATAMOTORS.NS
COALINDIA.NS
HINDZINC.NS
TATASTEEL.NS
PIDILITIND.NS
LTIM.NS
SBILIFE.NS
HDFCLIFE.NS
GRASIM.NS
VEDL.NS
ADANIPOWER.NS
IOC.NS
AMBUJACEM.NS
BRITANNIA.NS
DABUR.NS
HINDALCO.NS
BAJAJ-AUTO.NS
SIEMENS.NS
TECHM.NS
DLF.NS
DIVISLAB.NS
INDUSINDBK.NS
BANKBARODA.NS
GODREJCP.NS
CIPLA.NS
VBL.NS
EICHERMOT.NS
SHREECEM.NS
HAL.NS
INDIGO.NS
SBICARD.NS
TATACONSUM.NS
DRREDDY.NS
AWL.NS
BEL.NS
HAVELLS.NS
BPCL.NS
APOLLOHOSP.NS
BAJAJHLDNG.NS
SRF.NS
MARICO.NS
TATAPOWER.NS
ICICIPRULI.NS
GAIL.NS
ICICIGI.NS
ABB.NS
PNB.NS
CHOLAFIN.NS
IOB.NS
BERGEPAINT.NS
CANBK.NS
TIINDIA.NS
IDBI.NS
UPL.NS
HEROMOTOCO.NS
YESBANK.NS
JINDALSTEL.NS
TORNTPHARM.NS
PIIND.NS
NAUKRI.NS
UNIONBANK.NS
INDUSTOWER.NS
IRCTC.NS
BOSCHLTD.NS
SHRIRAMFIN.NS
LODHA.NS
TVSMOTOR.NS
ZOMATO.NS
PAGEIND.NS
TRENT.NS
ACC.NS
MOTHERSON.NS
HDFCAMC.NS
ABBOTINDIA.NS
CONCOR.NS
UBL.NS
PGHH.NS
AUBANK.NS
JSWENERGY.NS
MUTHOOTFIN.NS
MAXHEALTH.NS
INDHOTEL.NS
NYKAA.NS
COLPAL.NS
ZYDUSLIFE.NS
SCHAEFFLER.NS
PATANJALI.NS
ASHOKLEY.NS
LTTS.NS
BALKRISIND.NS
IRFC.NS
CUMMINSIND.NS
BHARATFORG.NS
ASTRAL.NS
NHPC.NS
POLYCAB.NS
UCOBANK.NS
CGPOWER.NS
TATAELXSI.NS
MPHASIS.NS
MRF.NS
BANDHANBNK.NS
HONAUT.NS
ALKEM.NS
SOLARINDS.NS
PFC.NS
TATACOMM.NS
ABCAPITAL.NS
IDFCFIRSTB.NS
JUBLFOOD.NS
INDIANB.NS
LUPIN.NS
DALBHARAT.NS
NMDC.NS
GODREJPROP.NS
BANKINDIA.NS
GUJGASLTD.NS
STARHEALTH.NS
PAYTM.NS
FLUOROCHEM.NS
HINDPETRO.NS
SAIL.NS
BIOCON.NS
PETRONET.NS
MANYAVAR.NS
OBEROIRLTY.NS
GICRE.NS
UNOMINDA.NS
SUPREMEIND.NS
LINDEINDIA.NS
PERSISTENT.NS
IGL.NS
RECLTD.NS
APLAPOLLO.NS
CENTRALBK.NS
M&MFIN.NS
ABFRL.NS
BHEL.NS
DEEPAKNTR.NS
ESCORTS.NS
FEDERALBNK.NS
VOLTAS.NS
GLAND.NS
COROMANDEL.NS
AUROPHARMA.NS
OFSS.NS
SUNDARMFIN.NS
IDEA.NS
3MINDIA.NS
MSUMI.NS
AIAENG.NS
SONACOMS.NS
TIMKEN.NS
PHOENIXLTD.NS
GMRINFRA.NS
DELHIVERY.NS
TORNTPOWER.NS
TATACHEM.NS
ATUL.NS
MFSL.NS
COFORGE.NS
ZEEL.NS
JKCEMENT.NS
SUMICHEM.NS
DIXON.NS
CPSEETF.NS
SYNGENE.NS
KANSAINER.NS
GLAXO.NS
METROBRAND.NS
SKFINDIA.NS
LICHSGFIN.NS
RELAXO.NS
CROMPTON.NS
PSB.NS
IPCALAB.NS
AARTIIND.NS
OIL.NS
DEVYANI.NS
THERMAX.NS
BAYERCROP.NS
BATAINDIA.NS
FORTIS.NS
LAURUSLABS.NS
GRINDWELL.NS
RAJESHEXPO.NS
NAVINFLUOR.NS
CRISIL.NS
POONAWALLA.NS
MINDSPACE-RR.NS
APOLLOTYRE.NS
VINATIORGA.NS
HATSUN.NS
POLICYBZR.NS
PFIZER.NS
SUNTV.NS
SUNDRMFAST.NS
ENDURANCE.NS
LALPATHLAB.NS
PEL.NS
MAHABANK.NS
NIACL.NS
KPITTECH.NS
WHIRLPOOL.NS
IIFL.NS
EMAMILTD.NS
PRESTIGE.NS
IRB.NS
BLUEDART.NS
KAJARIACER.NS
KPRMILL.NS
FACT.NS
FINEORG.NS
TTML.NS
ZFCVINDIA.NS
CARBORUNIV.NS
FIVESTAR.NS
RAMCOCEM.NS
TRIDENT.NS
GILLETTE.NS
ISEC.NS
MAZDOCK.NS
AJANTPHARM.NS
EXIDEIND.NS
CLEAN.NS
UTISENSETF.NS
JBCHEPHARM.NS
BDL.NS
NH.NS
AAVAS.NS
GODREJIND.NS
GSPL.NS
APTUS.NS
PPLPHARMA.NS
SUZLON.NS
REDINGTON.NS
AFFLE.NS
ELGIEQUIP.NS
POWERINDIA.NS
NATIONALUM.NS
RVNL.NS
ALKYLAMINE.NS
CREDITACC.NS
RADICO.NS
RATNAMANI.NS
DCMSHRIRAM.NS
SANOFI.NS
BAJAJELEC.NS
NUVOCO.NS
CGCL.NS
SJVN.NS
INDIAMART.NS
KEI.NS
LAXMIMACH.NS
CUB.NS
ABSLAMC.NS
IDFC.NS
RHIM.NS
ASAHIINDIA.NS
HAPPSTMNDS.NS
KALYANKJIL.NS
IEX.NS
CAMPUS.NS
GLENMARK.NS
SUVENPHAR.NS
CHAMBLFERT.NS
CIEINDIA.NS
SFL.NS
KIOCL.NS
AEGISCHEM.NS
CASTROLIND.NS
ASTERDM.NS
KIMS.NS
MEDANTA.NS
WESTLIFE.NS
KEC.NS
RENUKA.NS
CDSL.NS
